roundID,text,playerID
01J042MPH2THCQRH7CXQWP74A7,side door with a crown,01J042JANA9P3QE1K69TE0ZT0J
01J042NN8WWX8ZA6P1N3XAHZ3E,pac-man looking downwards with a big butt,01J042JG31ZY0FHVVSXGZXFX4T
01J042MPGQGDV4VXJFQBRP76NS,big cheek man with flat top,01J042JEX1D79G227SPAQTF0SW
01J03XVMPJJNHNS5S3RV9CZB61,vbxcvbv,01J03XV2NNHGH68E2ERMN3RTHS
01J042MPHR2DWESG4E2CNXG3EV,open door castle,01J042JANA9P3QE1K69TE0ZT0J
01J042P590RKX5DRAEZYDJEW4N,fire top with small arms,01J042MX1G94MV9Y59EECN71PN
01J0431D1V04HJ2DZQSGFJ04MD,xmas tree. not a flower. has a block kind of top,01J04318V1CQ18NDZYS70RXZ42
01J042MPGNTW1CYME8WBX8BMPY,oops,01J042JANA9P3QE1K69TE0ZT0J
01J042MPGNTW1CYME8WBX8BMPY,sorry,01J042JANA9P3QE1K69TE0ZT0J
01J042MPGNTW1CYME8WBX8BMPY,bummer nw haha,01J042JEX1D79G227SPAQTF0SW
01J042MPGNTW1CYME8WBX8BMPY,ok this one looks like a house with a door at the side but the top is FLAT,01J042JANA9P3QE1K69TE0ZT0J
01J042MPGNTW1CYME8WBX8BMPY,hahaha,01J042JEX1D79G227SPAQTF0SW
01J0431D34VGZJYDR2Z1KH55FP,flower with no crown. has a flat top. like a X'mas tree upside down,01J04318V1CQ18NDZYS70RXZ42
01J0431D3RVNENVXPWZXG4XAWZ,"It looks like the last object, but a hat insead of a crown",01J0431AJ55NGAMMR47B8WWHK4
01J042NE74KA3Z4VEFJD9BDBSR,"kinda looks like a rose, triangles on top",01J042JB8A2DCYDBAZ3HV9S10D
01J042NN96XHPBMRJQ4J125ZXH,looks like a bird but with a crown,01J042JG31ZY0FHVVSXGZXFX4T
01J042NE6NS1C85TAT859WXC76,looks like a mountain with a piece chopped off,01J042JB8A2DCYDBAZ3HV9S10D
01J042NE76G1QBJZ6D9CJ33BME,big square with 2 rectangles and a triangle chopped off,01J042JT6WPZS3ZND7A7738ZSY
01J042NN6FW08TTQ7Y18K39DGA,castle head (not bird),01J042JFC6MZHDYQMJ4GQ0WG6E
01J042NE69621XZWRTYWR1D1VJ,wall with triangles on top and triangle chopped off on the bottom,01J042JT6WPZS3ZND7A7738ZSY
01J042P58HYTS7BY8TWFTSH2BT,bottom right gone,01J042KB07J8YBT7P3Q55XJKA4
01J042MPHQKZMB4EJF910PX64S,cheeks castle man,01J042JEX1D79G227SPAQTF0SW
01J042NN5CS51A6GXT4ZQBGR8Y,looks like a human head without the crown,01J042JG31ZY0FHVVSXGZXFX4T
01J042P58MQ03EGR4611HS27VV,large triangle taken out the bottom,01J042KB07J8YBT7P3Q55XJKA4
01J0431D3CZK9KC1511N17EA6W,wine glass upside down. has a cut bottom right,01J04318V1CQ18NDZYS70RXZ42
01J0431D3KFHRE4S2143HG1F6H,hill cut out at the bottom but not with a crown.  has two cuts on top,01J04318V1CQ18NDZYS70RXZ42
01J042NE6QXHBESSHNP18NGWA2,kinda like lord farquaad,01J042JT6WPZS3ZND7A7738ZSY
01J042NE7G8ASYNXGBZSRRQB81,3 triangles on top,01J042JT6WPZS3ZND7A7738ZSY
01J042NN7X7ZF0EJDNQFZ3D52Z,head with broad shoulders and flat top (not crown),01J042JFC6MZHDYQMJ4GQ0WG6E
01J042MPGQGDV4VXJFPCQ41XJS,castle/fork top with flower bottom,01J042JANA9P3QE1K69TE0ZT0J
01J0431D3GZW4QQTQY86352S8P,flower that is not bloomed yet,01J04318V1CQ18NDZYS70RXZ42
01J042MPJAX1PATKK4SBX7RZGG,spiky top open door,01J042JANA9P3QE1K69TE0ZT0J
01J03X5ADJBXYPWZ3287724YHN,gfdhgh,01J03X55JSXT0VAV6HARBGF6MD
