roundID,gameID,trialNum,playerID,text,director_msg
01M0XEYNWTZT82J1K53F3HJ7CH,01M0XEBHFAZN8J8K9QJ4PMADCV,13,01M0XEREB3GCTAQVXHQ8WY91H4,"two triangles on left side, it is NOT the one that slopes down on the right, NO hole in the shape",TRUE
01M0XFQX013E4F044HJKS952NR,01M0XEP3TXK5Z02SVJR2VASG8P,22,01M0XFGKS364T502MY6BASRSP2,"anville I think you said, two spikes",TRUE
01M0XEXFQXV1J847S8027TZW45,01M0XEBFZ0825AFF4R333DJ4HK,40,01M0XER0XX29HJPEX4FRYGSWYD,"shakr fins on left, dog booping ground on right",TRUE
01M0XF75C9RVXWSCCXZWXM2Z8Q,01M0XEBJH4G5D0NKPXZ6BYKGS7,40,01M0XERQ8TV5N8Y3NVYKQG5TNE,apron,TRUE
01M0XF75C9RVXWSCCXZWXM2Z8Q,01M0XEBJH4G5D0NKPXZ6BYKGS7,40,01M0XER6FPF3N9GKNC8JSYE9M7,kid on board?,FALSE
01M0XF75C9RVXWSCCXZWXM2Z8Q,01M0XEBJH4G5D0NKPXZ6BYKGS7,40,01M0XERQ8TV5N8Y3NVYKQG5TNE,nope,TRUE
01M0XF75C9RVXWSCCXZWXM2Z8Q,01M0XEBJH4G5D0NKPXZ6BYKGS7,40,01M0XER6FPF3N9GKNC8JSYE9M7,skull or necktie?,FALSE
01M0XF75C9RVXWSCCXZWXM2Z8Q,01M0XEBJH4G5D0NKPXZ6BYKGS7,40,01M0XERQ8TV5N8Y3NVYKQG5TNE,skull,TRUE
01M0XEYNY1TAXERJDH8BHYEHHG,01M0XEBHFAZN8J8K9QJ4PMADCV,37,01M0XEREB3GCTAQVXHQ8WY91H4,stumpy key,TRUE
01M0XF02YH0PNGKNPHKAE8S9SC,01M0XEBFYZ40VDCCZ70PM6EWHK,17,01M0XERQP1ZQ8ZKRV6F98VE778,has a small white rectangle inside,TRUE
01M0XFED4VN0A1K1EC7P9DZNE3,01M0XF36KPEANMAA2FHR330CGB,37,01M0XES7WHX0W3E8PJ1JTK03A6,the diomond,TRUE
01M0XF6K07XMCT7GER9F4XEE8K,01M0XEBKS2G948HDY26TVYK1X9,27,01M0XEQS1Y61NYBS2B9X56Y7HM,y,TRUE
01M0XF6K64R36RSB8RWJRRVEW3,01M0XEBKS2G948HDY26TVYK1X9,44,01M0XERWA6XTSFFEAXHF1XTBP1,rocket again,TRUE
01M0XF031RVJMRYQHFDNKV5510,01M0XEBFYZ40VDCCZ70PM6EWHK,8,01M0XEW4XVCD53BQGS5F5TWC4E,this one looks to be standing on three legs. right and left leg are rectangles and the middle is a sharp triangle,TRUE
01M0XF2S0GYR3DD9VFG4ZFJGZQ,01M0XEBKS0ZEFNX9SMQDQW2PZ4,14,01M0XES69GNPHVSPMR1TVP4HAR,huamn on telephone base,TRUE
01M0XFCCZRE5938YYPDHCWX4NV,01M0XEP3TSE5MTCHYTC004C3XD,8,01M0XEY6K6WQC3AV5JQQ7N3PQV,"It is a black, irregular shape with several sharp triangular points. It has two tall pointed peaks on the left and center, a tall rectangular section on the right, and a square block at the bottom right.",TRUE
