roundID,text,playerID,director_msg,chit_chat
01JGZ1X5RSNT94FV79EQKTRC90,t or cross on left,01JGZ1SJWNZE8QE3NNJR20DXCP,TRUE,FALSE
01JGZ25RVH43VHEACEWNYSZTSM,..,01JGZ21Z3AX6J8A76HN69MCSPH,FALSE,FALSE
01JGZ25RVH43VHEACEWNYSZTSM,Kind of like a dinosaur with a backpack,01JGZ1RJTH934E99B6DAFAQ5V5,TRUE,FALSE
01JGZ26ENYKKRDZ4SHJ4EVPA21,.,01JGZ1SAB2MDGX7YH93HRH7DSB,FALSE,FALSE
01JGZ26ENYKKRDZ4SHJ4EVPA21,triangle top not a flat base,01JGZ1ZY5F3WYAK7V5DZWPSGQD,TRUE,FALSE
01JGZ2MQAM0ENK5F9JGYG5FW20,has this extra piece out to the left and its big with less cut out,01JGZ204C2S04A0C870XB1VVEX,TRUE,FALSE
01JGZ2MQAM0ENK5F9JGYG5FW20,"i think i picked the wrong one, sorry",01JGZ22DHJXADB0HGG4NS7BEZ1,FALSE,FALSE
01JGZ2MQAM0ENK5F9JGYG5FW20,"but its slow, the system",01JGZ22DHJXADB0HGG4NS7BEZ1,FALSE,FALSE
01JGZ1X5RGNJ1WN3FG8551K9MR,ready,01JGZ1SJWNZE8QE3NNJR20DXCP,FALSE,FALSE
01JGZ1X5RGNJ1WN3FG8551K9MR,"long black right side, open mouth left side",01JGZ1STC3KCA5ZBRR6JQ5QT7E,TRUE,FALSE
01JGZ2Z3THC6DC0KS2AFXY9EJT,Shape please,01JGZ29ZYEPST8VT6VPFZ1XZC9,FALSE,FALSE
01JGZ2Z3THC6DC0KS2AFXY9EJT,Shape without any pointed edge,01JGZ2NWEK2Y904HFY4N6D138M,TRUE,FALSE
01JGZ3BKYQDMDP9N2MGG3TXA98,only shape where the square is seperate to the rest of the image,01JGZ35EM7WTF6KRT67SJC6CXQ,TRUE,FALSE
